,municipio,codEstacao,uf,nomeEstacao,latitude,longitude,datahora,valorMedida,Time,Date
41,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 01:50:00,0.2,01:50,2019-01-02
42,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 02:20:00,0.2,02:20,2019-01-02
43,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 02:50:00,0.0,02:50,2019-01-02
44,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 03:00:00,0.2,03:00,2019-01-02
45,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 03:40:00,0.2,03:40,2019-01-02
46,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 03:50:00,0.0,03:50,2019-01-02
47,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 04:20:00,0.2,04:20,2019-01-02
48,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 04:50:00,0.0,04:50,2019-01-02
49,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 05:10:00,0.2,05:10,2019-01-02
50,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 05:50:00,0.0,05:50,2019-01-02
51,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 06:00:00,0.2,06:00,2019-01-02
52,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 06:50:00,0.2,06:50,2019-01-02
53,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 07:50:00,0.2,07:50,2019-01-02
54,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 08:50:00,0.2,08:50,2019-01-02
55,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 09:50:00,0.2,09:50,2019-01-02
56,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 10:50:00,0.2,10:50,2019-01-02
57,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 11:50:00,0.0,11:50,2019-01-02
58,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 12:10:00,0.2,12:10,2019-01-02
59,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 12:50:00,0.0,12:50,2019-01-02
60,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 13:10:00,0.2,13:10,2019-01-02
61,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 13:50:00,0.0,13:50,2019-01-02
62,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 14:40:00,0.2,14:40,2019-01-02
63,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 14:50:00,0.0,14:50,2019-01-02
64,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 15:50:00,0.0,15:50,2019-01-02
65,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 16:10:00,0.2,16:10,2019-01-02
66,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 16:50:00,0.0,16:50,2019-01-02
67,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 17:50:00,0.2,17:50,2019-01-02
