SEQ,N,16,6.LONG,N,16,6.LAT,N,16,6.LOCAL_ED,C,254.LOCALIZACA,C,254.REFERENCIA,C,254.DATA,D.MES,N,16,6.H_INICIO,C,254.H_FIM,C,254.DURACAO,C,254.DUR_H,N,7,2.id_estacao,C,21.codestacao,C,254.latitude,N,24,15.longitude,N,24,15.nome,C,254.id_municip,N,10,0.rede,C,254.tipoestaca,C,254.geocodigo,N,10,0.cidade,C,254.xcoord,N,24,15.ycoord,N,24,15
118.-46,63824.-23,55033.PC DA BANDEIRA.PC DA BANDEIRA.AV VINTE E TRâ”œÃ¢â”¼Ã¡S DE MAIO-BAIRROCENTRO-SE.24/01/2019.1.16:22:00.16:50:00.00:28:00.0,47.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
119.-46,640456.-23,549091.AV NOVE DE JULHO.AV NOVE DE JULHO.PC DA BANDEIRA-AMBOS-SE.24/01/2019.1.16:23:00.16:40:00.00:17:00.0,28.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
122.-46,63891.-23,54981.PC DA BANDEIRA.PC DA BANDEIRA.ALTURA DO NUMERO 0-CENTROBAIRRO-SE.24/01/2019.1.16:32:00.16:40:00.00:08:00.0,13.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
126.-46,62906.-23,55824.R TEIXEIRA LEITE.R TEIXEIRA LEITE.VD DO GLICERIO-CENTROBAIRRO-SE.24/01/2019.1.16:38:00.17:45:00.01:07:00.1,12.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
128.-46,641155.-23,538239.AV RIO BRANCO.AV RIO BRANCO.R DOS GUSMOES-BAIRROCENTRO-SE.24/01/2019.1.16:45:00.18:19:00.01:34:00.1,57.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
132.-46,630781.-23,524646.AV SANTOS DUMONT.AV SANTOS DUMONT.AV DO ESTADO-AEROPORTOSANTANA-SE.24/01/2019.1.16:52:00.18:28:00.01:36:00.1,6.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
133.-46,628561.-23,557195.R TEIXEIRA LEITE.R TEIXEIRA LEITE.R S PAULO-CENTROBAIRRO-SE.24/01/2019.1.17:06:00.17:42:00.00:36:00.0,6.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
136.-46,627557.-23,549089.AV DO ESTADO.AV DO ESTADO.VD VINTE E CINCO DE MARCO-SANTANAIPIRANGA-SE.25/01/2019.1.00:55:00.01:16:00.00:21:00.0,35.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
137.-46,64497.-23,53303.AV RIO BRANCO.AV RIO BRANCO.AV RUDGE-BAIRROCENTRO-PI.25/01/2019.1.17:01:00.20:22:00.03:21:00.3,35.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
148.-46,627557.-23,549089.AV DO ESTADO.AV DO ESTADO.VD VINTE E CINCO DE MARCO-SANTANAIPIRANGA-SE.25/01/2019.1.22:54:00.22:30:00.23:36:00.23,6.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
166.-46,62947.-23,540356.R DA CANTAREIRA.R DA CANTAREIRA.AV MERCURIO-AMBOS-SE.30/01/2019.1.16:59:00.18:00:00.01:01:00.1,02.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
175.-46,64164.-23,53795.AV RIO BRANCO.AV RIO BRANCO.ALTURA DO NUMERO 621-BAIRROCENTRO-SE.30/01/2019.1.17:16:00.18:41:00.01:25:00.1,42.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
