,Unnamed: 0,date,text,Time,Date
3833,3833,2019-01-06 21:34:40-02:00,Chuva???? E daí kkkkk.... aqui é escola raiz @vaivaioficial ... borá se divertir!!!! #amamosprasempre❤️❤️❤️ em Escola de Samba Vai-Vai https://t.co/I4o1v4L5Am,21:34,2019-01-06
3843,3843,2019-01-06 21:22:26-02:00,Chuva???? E aí kkkkkk @vaivaioficial Escola Raiz.... borá curtir!!!! em Escola de Samba Vai-Vai https://t.co/kEqbheqvlK,21:22,2019-01-06
3887,3887,2019-01-06 20:34:43-02:00,O que a gente precisaaaaaa é tomar um banho de chuva  banho de chuvaaaa! em São Paulo  Brazil https://t.co/uOktK7lfDe,20:34,2019-01-06
3893,3893,2019-01-06 20:24:51-02:00,Avenida Paulista #relampago #lightning #avenidapaulista #saopaulo em São Paulo  Brazil https://t.co/ujBmdiWE87,20:24,2019-01-06
3913,3913,2019-01-06 20:00:43-02:00,Primeira chuva do ano no @vaivaioficial  com ela nadiacosta_  pra lavar a alma....#amosemlimites #vaivai #quilombodopovo #carnaval2019 em Escola de Samba Vai-Vai https://t.co/rOkaVA5N7i,20:00,2019-01-06
4479,4479,2019-01-06 02:38:10-02:00,"Um ótimo domingo a todos...
Na praia  na chuva   na fazenda  ou numa casinha de sapê  ou na cidade mesmo..😂
#domingoemfamilia❤️ #paz #sunday #feriasdejaneiro #weekend #fds… https://t.co/vCnFCuMxde",02:38,2019-01-06
4485,4485,2019-01-06 01:53:10-02:00,"Na hora de embora 
  Pláaaaa!!! Mal  Chuva um pé d'água!!! em Rua Avanhandava https://t.co/evwULoT7z0",01:53,2019-01-06
4500,4500,2019-01-06 00:39:17-02:00,"' Chove chuva..
Chove sem parar '. 💙🌧
#Amo #BoaNoite em São Paulo  Brazil https://t.co/9DHahxmsI1",00:39,2019-01-06
4552,4552,2019-01-05 23:08:23-02:00,É desse rio que meus pequenos grandes sonhos começaram a crescer  viajando de rabeta em baixo do sol e tempestade  barco e lancha. Muitos podem dizer que foi sorte  outros dizem que eu já… https://t.co/ZAEL3OaVkC,23:08,2019-01-05
4677,4677,2019-01-07 20:13:32-02:00,"[RAID BOSS SOLO]
Ano começou meio embolado no meio de campo  mas vamo que vamo.
A chuva melecou o sinal na Raid do Deoxys  então não rolou solar  mas chegou no amarelo... então quem sabe… https://t.co/QJkzrf080z",20:13,2019-01-07
